nombre_git	nombre	encabezado	tipo	estado	autor	tags	permite	notas_de_forma	notas_de_contenido
disc-awake-curiosity	Despertar tu curiosidad	Una Gran Pregunta en un mundo sin escritura.	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-needle-in-haystack	Encontrar una aguja en un pajar	Internet: la biblioteca más grande en tu bolsillo.	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-where-is-internet	Descubrir dónde está el internet	Una red de millones de computadores.	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-travel-like-information	Convertirte en información que viaja por el internet	¿Cómo funciona el internet?	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-be-electricity-waves	Jugar a ser electricidad y ondas	¿Cómo se transmite la señal de internet?	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-healthy-informational-diet	Inventar una alimentación informática saludable	¿Cómo se mide el uso del internet?	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-travel-speed-light	Viajar a la velocidad de la luz	¿Qué tan rápido puedes acceder a la información en internet?	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-jump-in-internet	Saltar de arriba a abajo en el internet	¿Qué significa "velocidad de carga y de descarga"?	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-be-internet-scientist	Ser un científico del internet	¿Cómo saber qué tan rápido es tu internet?	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-become-waves-travel	Transformarte en ondas para viajar por el mundo	¿Cómo saber que tienes señal móvil?	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-surf-higher-waves	Surfear cada vez en olas más altas	¿Cómo saber qué tipo de señal móvil tienes?	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-become-wireless-tech	Transformarte en una tecnología inalámbrica para conectar historias de vida	¿Cómo saber que tienes señal WiFi?	Desconectado	Publicado	SOLE Colombia	Cartas navegadoras	Medir		
disc-be-internet-traveler	Ser internet para viajar por un cable a través de la tierra y los océanos	¿Cómo saber que tienes señal por cable?	Desconectado	Publicado	SOLE Colombia	Cartas cacharreras	Medir		
disc-buy-3Gantenna-obtain	¿Cómo comprar una antena 3/4G?	Una alternativa de conectividad económica.	Desconectado	Publicado	SOLE Colombia	Cartas conectivas	Conseguir		
disc-build-3Gantenna	Construye una antena 3G casera	Recibe ondas de señal 3G extendiendo la antena de tu celular.	Desconectado	Publicado	SOLE Colombia	Cartas conectivas	Conseguir		
disc-agree-with-neighbor	Acordar con un vecino	Otras personas ya están conectadas.	Desconectado	Publicado	SOLE Colombia	Cartas conectivas	Conseguir		
disc-radio-link-antenna	Antenas de radioenlace	Extender la señal a través del aire.	Desconectado	Publicado	SOLE Colombia	Cartas conectivas	Conseguir		
disc-satellite-internet	Internet satelital	El último recurso de conectividad.	Desconectado	Publicado	SOLE Colombia	Cartas conectivas	Conseguir		No es claro qué hacer con esto...
disc-jangala-internet-box	Big Box de Jangala	Reúne, amplifica y comparte la señal existente.	Desconectado	Publicado	SOLE Colombia	Cartas conectivas	Compartir		
disc-shared-satellite-internet	Internet satelital compartido	Creación de acuerdos para la compra y uso de internet satelital.	Desconectado	Publicado	SOLE Colombia	Cartas conectivas	Compartir		
disc-share-internet	¿Cómo compartir internet?	Compartir es una responsabilidad colectiva.	Desconectado	Publicado	SOLE Colombia	Cartas conectivas	Compartir		
disc-improve-signal-router	Mejora el alcance de tu router	Optimiza la calidad de tu señal de router.	Desconectado	Publicado	SOLE Colombia	Cartas conectivas	Mejorar		
disc-buy-3Gantenna-improve	Compra una antena 3/4G	Una alternativa de conectividad económica.	Desconectado	Publicado	SOLE Colombia	Cartas conectivas	Mejorar		
disc-measure-signal-mobile	¿Cómo cacharrear tu señal móvil?	Diagnóstico de señal móvil.	Desconectado	Publicado	SOLE Colombia	Cartas cacharreras	Medir		
disc-measure-signal-wifi	¿Cómo cacharrear tu señal WiFi?	Diagnóstico de señal WiFi.	Desconectado	Publicado	SOLE Colombia	Cartas cacharreras	Medir		
disc-use-disconnected-tool	Instrucciones para usar SOLE Voltaje Desconectado	¿Cómo conectarnos a internet sin tener conexión?	Desconectado	Publicado	SOLE Colombia		Compartir		
